ma,province,total_doses,age,dose1,dose2,dose3
82,Tiền Giang,4.048.589,Age 5 to 11,14.731,0,0
82,Tiền Giang,4.048.589,Age 12 to 17,158.487,158.833,0
82,Tiền Giang,4.048.589,Age over 18,1.325.690,1.281.884,870.645
83,Bến Tre,3.077.262,Age 5 to 11,19.821,0,0
83,Bến Tre,3.077.262,Age 12 to 17,107.728,106.287,0
83,Bến Tre,3.077.262,Age over 18,1.024.932,1.014.106,323.587
84,Trà Vinh,2.133.686,Age 5 to 11,20.764,0,0
84,Trà Vinh,2.133.686,Age 12 to 17,98.647,94.348,0
84,Trà Vinh,2.133.686,Age over 18,698.980,685.479,521.092
86,Vĩnh Long,2.503.545,Age 5 to 11,20.386,0,0
86,Vĩnh Long,2.503.545,Age 12 to 17,94.177,89.326,0
86,Vĩnh Long,2.503.545,Age over 18,779.428,767.461,462.056
87,Đồng Tháp,3.704.365,Age 5 to 11,26.924,0,0
87,Đồng Tháp,3.704.365,Age 12 to 17,159.914,142.815,0
87,Đồng Tháp,3.704.365,Age over 18,1.161.677,1.220.823,606.117
89,An Giang,4.268.624,Age 5 to 11,12.180,0,0
89,An Giang,4.268.624,Age 12 to 17,208.127,192.341,0
89,An Giang,4.268.624,Age over 18,1.378.121,1.363.647,448.211
91,Kiên Giang,3.549.700,Age 5 to 11,19.237,0,0
91,Kiên Giang,3.549.700,Age 12 to 17,167.347,159.082,0
91,Kiên Giang,3.549.700,Age over 18,1.238.102,1.176.657,720.303
92,Cần Thơ,2.852.608,Age 5 to 11,23.923,0,0
92,Cần Thơ,2.852.608,Age 12 to 17,111.688,104.367,0
92,Cần Thơ,2.852.608,Age over 18,945.449,928.450,385.646
93,Hậu Giang,1.620.402,Age 5 to 11,12.146,0,0
93,Hậu Giang,1.620.402,Age 12 to 17,74.049,71.656,0
93,Hậu Giang,1.620.402,Age over 18,533.019,515.667,156.120
94,Sóc Trăng,2.740.769,Age 5 to 11,29.261,0,0
94,Sóc Trăng,2.740.769,Age 12 to 17,116.852,111.026,0
94,Sóc Trăng,2.740.769,Age over 18,899.036,865.520,48.563
95,Bạc Liêu,1.739.737,Age 5 to 11,15.106,0,0
95,Bạc Liêu,1.739.737,Age 12 to 17,88.835,86.255,0
95,Bạc Liêu,1.739.737,Age over 18,568.735,561.364,237.698
96,Cà Mau,2.612.644,Age 5 to 11,15.520,0,0
96,Cà Mau,2.612.644,Age 12 to 17,127.106,126.643,0
96,Cà Mau,2.612.644,Age over 18,820.314,809.499,247.085
